iter	Passed	Remaining
679	5310	2498
680	5314	2489
681	5319	2480
682	5326	2472
683	5330	2462
684	5335	2453
685	5342	2445
686	5346	2436
687	5355	2428
688	5362	2420
689	5367	2411
690	5372	2402
691	5377	2393
692	5384	2385
693	5393	2377
694	5398	2369
695	5403	2360
696	5408	2351
697	5413	2342
698	5419	2333
699	5424	2324
700	5429	2315
701	5433	2306
702	5438	2297
703	5443	2288
704	5449	2280
705	5455	2271
706	5460	2262
707	5465	2254
708	5471	2245
709	5476	2236
710	5483	2228
711	5488	2220
712	5493	2211
713	5500	2203
714	5504	2194
715	5509	2185
716	5515	2177
717	5521	2168
718	5525	2159
719	5532	2151
720	5537	2142
721	5541	2133
722	5550	2126
723	5557	2118
724	5565	2111
725	5571	2102
726	5577	2094
727	5588	2088
728	5597	2080
729	5602	2072
730	5613	2065
731	5623	2058
732	5633	2052
733	5640	2044
734	5648	2036
735	5654	2028
736	5660	2019
737	5674	2014
738	5681	2006
739	5687	1998
740	5696	1990
741	5704	1983
742	5712	1975
743	5717	1967
744	5727	1960
745	5735	1952
746	5746	1946
747	5764	1942
748	5779	1936
749	5784	1928
750	5791	1920
751	5796	1911
752	5800	1902
753	5807	1894
754	5811	1885
755	5816	1877
756	5822	1869
757	5827	1860
758	5832	1851
759	5838	1843
760	5843	1835
761	5847	1826
762	5854	1818
763	5859	1809
764	5864	1801
765	5870	1793
766	5875	1784
767	5880	1776
768	5886	1768
769	5891	1759
770	5895	1751
771	5900	1742
772	5906	1734
773	5911	1726
774	5916	1717
775	5922	1709
776	5927	1701
777	5932	1692
778	5939	1684
779	5944	1676
780	5948	1668
781	5957	1660
782	5962	1652
783	5974	1646
784	5980	1638
785	5992	1631
786	6044	1635
787	6058	1629
788	6069	1623
789	6099	1621
790	6110	1614
791	6120	1607
792	6153	1606
793	6166	1599
794	6194	1597
795	6207	1590
796	6228	1586
797	6244	1580
798	6281	1580
799	6290	1572
800	6305	1566
801	6320	1560
802	6339	1555
803	6350	1548
804	6374	1544
805	6391	1538
806	6410	1533
807	6423	1526
808	6437	1519
809	6452	1513
810	6466	1507
811	6481	1500
812	6495	1494
813	6502	1485
814	6515	1478
815	6526	1471
816	6533	1463
817	6547	1456
818	6560	1449
819	6567	1441
820	6575	1433
821	6582	1425
822	6592	1417
823	6607	1411
824	6614	1403
825	6622	1394
826	6630	1387
827	6643	1379
828	6649	1371
829	6658	1363
830	6664	1355
831	6671	1347
832	6675	1338
833	6681	1329
834	6686	1321
835	6690	1312
836	6694	1303
837	6698	1294
838	6704	1286
839	6709	1277
840	6713	1269
841	6718	1260
842	6722	1251
843	6725	1243
844	6729	1234
845	6734	1225
846	6738	1217
847	6742	1208
848	6746	1199
849	6751	1191
850	6755	1182
851	6759	1174
852	6762	1165
853	6768	1157
854	6772	1148
855	6776	1139
856	6780	1131
857	6785	1123
858	6789	1114
859	6793	1105
860	6796	1097
861	6801	1088
862	6806	1080
863	6810	1071
864	6815	1063
865	6819	1055
866	6822	1046
867	6826	1038
868	6831	1029
869	6835	1021
870	6838	1012
871	6842	1004
872	6848	996
873	6851	987
874	6855	979
875	6859	970
876	6864	962
877	6867	954
878	6871	945
879	6875	937
880	6880	929
881	6884	921
882	6887	912
883	6891	904
884	6896	896
885	6900	887
886	6904	879
887	6909	871
888	6914	863
889	6919	855
890	6923	846
891	6928	838
892	6933	830
893	6937	822
894	6940	814
895	6946	806
896	6949	798
897	6954	789
898	6958	781
899	6962	773
900	6966	765
901	6970	757
902	6974	749
903	6978	741
904	6982	732
905	6986	724
906	6990	716
907	6994	708
908	6998	700
909	7001	692
910	7005	684
911	7009	676
912	7013	668
913	7017	660
914	7020	652
915	7024	644
916	7028	636
917	7032	628
918	7036	620
919	7042	612
920	7048	604
921	7053	596
922	7059	588
923	7063	580
924	7066	572
925	7072	565
926	7076	557
927	7079	549
928	7083	541
929	7089	533
930	7093	525
931	7096	517
932	7103	510
933	7108	502
934	7113	494
935	7119	486
936	7123	478
937	7127	471
938	7130	463
939	7136	455
940	7139	447
941	7143	439
942	7146	432
943	7152	424
944	7156	416
945	7160	408
946	7164	400
947	7169	393
948	7173	385
949	7176	377
950	7180	369
951	7185	362
952	7189	354
953	7194	346
954	7199	339
955	7202	331
956	7206	323
957	7210	316
958	7215	308
959	7219	300
960	7223	293
961	7227	285
962	7232	277
963	7236	270
964	7239	262
965	7243	254
966	7248	247
